name,type,abv
Captain Morgan Silver Spiced Rum,Rum,
Captain Morgan Spiced Apple Rum,Rum,
Captain Morgan Spiced Rum,Rum,
Captain Morgan Vanilla Orange Twist,Rum,
Captain Morgan White Rum,Rum,
Cardhu 12 Years Single Malt Scotch Whisky,Scotch,
Cardhu Game of Thrones House Targaryen,Scotch,
Casa Dragones Anejo Tequila,Tequila,
Casa Dragones Blanco Tequila,Tequila,
Casa Dragones Joven Tequila,Tequila,
Casa Noble Anejo Tequila,Tequila,
Casamigos Anejo Tequila,Tequila,
Casamigos Blanco Tequila,Tequila,
Casamigos Tequila Anejo,Tequila,
Cask & Crew Double Oaked Straight Rye Whiskey,Whiskey,
Cask & Crew Ginger Spice Whiskey,Gin,
Cask & Crew Rye Blend Whiskey,Whiskey,
Cask & Crew Walnut Toffee Whiskey,Whiskey,
Cask and Crew Ginger Spice Whiskey,Gin,
Castillo Gold Rum,Rum,
Castillo White Rum,Rum,
Castle Long Reserve,Bourbon,
Catoctin Creek Roundstone Rye,Rye,
Catoctin Creek Roundstone Rye Cask Proof Whiskey,Whiskey,
Catoctin Creek Watershed Gin,Gin,
Catskill Most Righteous Bourbon Whiskey,Whiskey,
Catskill Mountain Peace Vodka,Vodka,
Cazadores Anejo Cristalino Tequila,Tequila,
Cazadores Anejo Tequila,Tequila,
Cazadores Extra Anejo Aged 3 Years,Tequila,
Cazadores Reposado Tequila,Tequila,
Cazadores Tequila Paloma,Tequila,
Cazadores Tequila Spicy Margarita Cocktail,Tequila,
Cedar Ridge Malted Rye,Rye,
Cedar Ridge Single Malt Whiskey,Whiskey,
Ceder's Crisp Gin,Gin,
Cenote Anejo Tequila,Tequila,
Cenote Blanco Tequila,Tequila,
Cenote Reposado Tequila,Tequila,
Centinela 3 Anos Tequila Anejo,Tequila,
Centinela Reposado Tequila,Tequila,
Chai Liqueur,Liqueur,
Chairman's Reserve Gold Rum St. Lucia,Rum,
Chambord Black Raspberry Liqueur,Liqueur,
Charbay Blood Orange Vodka,Vodka,
Charbay Release II Hop Flavored Whiskey,Whiskey,
Charbay Ruby Red Grapefruit Vodka,Vodka,
Charles Regnier Triple Sec Liqueur,Liqueur,
Charred Oak Bourbon,Bourbon,
Chartreuse Green Liqueur,Liqueur,
Chase Smoke Flavored Vodka,Vodka,
Cherry Brandy,Brandy,
Cherry Flavored Liqueur,Liqueur,
Cherry Flavored Moonshine,Whiskey,
Cherry Flavored Schnapps,Liqueur,
Cherry Flavored Vodka,Vodka,
Cherry Liqueur,Liqueur,
Cherry Noir Vodka,Vodka,
Chicago Regular Vodka,Vodka,
Chile (Spicy) Poblano Liqueur,Liqueur,
Chile Liqueur,Liqueur,
Chinaco Blanco,Tequila,
Chinaco Tequila Anejo,Tequila,
Chinola Passion Fruit Liqueur,Liqueur,
Chivas Regal 12 Year,Scotch,
Chivas Regal 12 Years,Scotch,
Chivas Regal 18 Year Old Blended Scotch Whisky,Scotch,
Chivas Regal 18 Year Old Scotch,Scotch,
Chivas Regal Extra Blended Scotch Whisky,Scotch,
Chivas Regal Mizunara,Scotch,
Chivas Regal Royal Salute 21 Year Old Blended Scotch Whisky,Scotch,
Chivas Regal Royal Salute 21 Year Old The Polo Estancia Edition Blended Scotch Whisky,Scotch,
